epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1553.77,0.98061,0.71254,0.96684,0.9726,0.98046,0.99141,0.79157,0.89821,0.64187,0.93088,0.000676802,0.000676802,0.000676802
62,1582.8,0.93929,0.69349,0.95075,0.97872,0.98241,0.99298,0.79122,0.89665,0.63321,0.92822,0.000660299,0.000660299,0.000660299
63,1607.49,0.96794,0.79774,0.95771,0.97872,0.98241,0.99298,0.79122,0.89665,0.63321,0.92822,0.000643795,0.000643795,0.000643795
64,1633.66,0.96232,0.73375,0.98714,0.98099,0.97897,0.99282,0.79371,0.89074,0.61976,0.92504,0.000627292,0.000627292,0.000627292
65,1659.48,0.94817,0.71562,0.98742,0.98644,0.98121,0.99321,0.79415,0.88701,0.61921,0.92242,0.000610789,0.000610789,0.000610789
66,1684.22,0.93802,0.72023,0.95868,0.98644,0.98121,0.99321,0.79415,0.88701,0.61921,0.92242,0.000594286,0.000594286,0.000594286
67,1708.24,0.94033,0.7482,0.98807,0.98764,0.98643,0.99349,0.79823,0.88419,0.6221,0.91735,0.000577782,0.000577782,0.000577782
68,1734.19,0.94106,0.724,0.97353,0.98911,0.98608,0.99314,0.79977,0.87975,0.6216,0.91764,0.000561279,0.000561279,0.000561279
69,1757.49,0.95184,0.73277,0.97388,0.98911,0.98608,0.99314,0.79977,0.87975,0.6216,0.91764,0.000544776,0.000544776,0.000544776
70,1799.66,0.96505,0.72223,0.9716,0.9872,0.98077,0.99288,0.80218,0.88142,0.60861,0.91838,0.000528272,0.000528272,0.000528272
71,1825.36,0.90358,0.68449,0.95344,0.98386,0.97925,0.99347,0.80543,0.86943,0.59175,0.91642,0.000511769,0.000511769,0.000511769
72,1849.59,0.93169,0.69504,0.95754,0.98386,0.97925,0.99347,0.80543,0.86943,0.59175,0.91642,0.000495266,0.000495266,0.000495266
73,1873.78,0.94919,0.82185,0.97067,0.9804,0.98515,0.99321,0.81142,0.85338,0.57709,0.91264,0.000478762,0.000478762,0.000478762
74,1899.29,0.91155,0.69217,0.9546,0.98116,0.98741,0.99437,0.80615,0.87566,0.57567,0.9162,0.000462259,0.000462259,0.000462259
75,1924.2,0.92295,0.66716,0.95766,0.98116,0.98741,0.99437,0.80615,0.87566,0.57567,0.9162,0.000445756,0.000445756,0.000445756
76,1948.12,0.90135,0.68035,0.96103,0.98415,0.98869,0.9944,0.80602,0.87211,0.57663,0.91857,0.000429253,0.000429253,0.000429253
77,1974.17,0.957,0.71493,0.96585,0.98586,0.9845,0.9944,0.80739,0.85964,0.57469,0.91823,0.000412749,0.000412749,0.000412749
78,1999.45,0.93762,0.70258,0.97695,0.98586,0.9845,0.9944,0.80739,0.85964,0.57469,0.91823,0.000396246,0.000396246,0.000396246
79,2030.94,0.93061,0.69375,0.96532,0.98694,0.9845,0.9943,0.81056,0.85897,0.57767,0.91731,0.000379743,0.000379743,0.000379743
80,2070.62,0.89326,0.66668,0.95352,0.98673,0.98514,0.99419,0.8085,0.85279,0.57679,0.91312,0.000363239,0.000363239,0.000363239
81,2095.09,0.92728,0.70113,0.97784,0.98673,0.98514,0.99419,0.8085,0.85279,0.57679,0.91312,0.000346736,0.000346736,0.000346736
82,2123,0.92205,0.66033,0.95111,0.98598,0.98643,0.99418,0.80898,0.84791,0.57638,0.91216,0.000330233,0.000330233,0.000330233
